date_order,GMV_Accepted
01/01/21,165253.86000000002
02/01/21,219164.61000000002
03/01/21,377629.99000000005
04/01/21,352917.24
05/01/21,556032.63
06/01/21,362611.5400000001
07/01/21,709580.3599999996
08/01/21,728687.1400000001
09/01/21,585702.8599999999
10/01/21,804470.5100000002
11/01/21,456706.9200000001
12/01/21,520371.26999999984
13/01/21,658419.48
14/01/21,397585.56999999995
15/01/21,222761.39999999997
16/01/21,517295.94000000024
17/01/21,660578.8199999998
18/01/21,611424.1000000002
19/01/21,848369.9799999997
20/01/21,758212.26
21/01/21,436573.74000000005
22/01/21,766590.5899999996
23/01/21,757340.2700000001
24/01/21,1047981.6100000001
25/01/21,970966.3300000003
26/01/21,897066.0100000002
27/01/21,1005998.2799999998
28/01/21,981749.6299999999
29/01/21,913362.8200000002
30/01/21,868700.6599999997
31/01/21,1442410.1899999995
01/02/21,1159108.2200000004
02/02/21,1011057.0600000006
03/02/21,924055
04/02/21,1034481.6200000006
05/02/21,1483649.039999999
06/02/21,1286234.8499999992
07/02/21,1223690.8599999999
08/02/21,1159821.57
09/02/21,1542041.6599999992
10/02/21,1977162.2199999993
11/02/21,1291479.5100000005
12/02/21,1306922.9200000004
13/02/21,1516306.9499999993
14/02/21,1665527.7200000002
15/02/21,1912830.3199999998
16/02/21,1571573.8999999997
17/02/21,1248642.1299999997
18/02/21,1117524.1899999995
19/02/21,1483388.39
20/02/21,1686553.6799999997
21/02/21,1924097.9399999997
22/02/21,2073727.7200000011
23/02/21,1928200.4899999995
24/02/21,1682930.5200000005
25/02/21,1659081.8899999997
26/02/21,2002838.3100000003
27/02/21,1568384.7799999993
28/02/21,2236747.3300000005
01/03/21,2684398.25
02/03/21,1705153.82
03/03/21,1858357.6299999997
04/03/21,1572761.5900000003
05/03/21,2274947.43
06/03/21,1534524.82
07/03/21,1497264.0700000003
08/03/21,1378944.1800000002
09/03/21,826348.7799999999
10/03/21,817145.2000000002
11/03/21,614406.1999999998
12/03/21,264715.44
13/03/21,166059.53
14/03/21,100518.09
