Date_orders,OnTime
01/01/21,80
02/01/21,85.71
03/01/21,65
04/01/21,87.5
05/01/21,66.67
06/01/21,61.9
07/01/21,62.07
08/01/21,75.86
09/01/21,80
10/01/21,85.11
11/01/21,94.12
12/01/21,93.55
13/01/21,87.5
14/01/21,70.83
15/01/21,94.44
16/01/21,89.66
17/01/21,87.1
18/01/21,82.35
19/01/21,83.33
20/01/21,93.94
21/01/21,86.36
22/01/21,93.33
23/01/21,90.48
24/01/21,88.89
25/01/21,87.76
26/01/21,80.95
27/01/21,76
28/01/21,77.78
29/01/21,87.5
30/01/21,91.3
31/01/21,84.72
01/02/21,86.79
02/02/21,80
03/02/21,87.72
04/02/21,86.44
05/02/21,72.73
06/02/21,83.05
07/02/21,67.92
08/02/21,71.21
09/02/21,77.63
10/02/21,81.08
11/02/21,79.45
12/02/21,65.52
13/02/21,69.33
14/02/21,87.67
15/02/21,77.27
16/02/21,75.71
17/02/21,75.41
18/02/21,78.18
19/02/21,82.93
20/02/21,84.72
21/02/21,81.44
22/02/21,85.26
23/02/21,82.29
24/02/21,76.67
25/02/21,73.17
26/02/21,82.35
27/02/21,78.21
28/02/21,79.41
01/03/21,81.98
02/03/21,84.95
03/03/21,82.47
04/03/21,84.44
05/03/21,86.92
06/03/21,89.87
07/03/21,88.75
08/03/21,94.52
09/03/21,95.24
10/03/21,97.5
11/03/21,100
12/03/21,100
13/03/21,100
14/03/21,100
