date_order,PromisedClick2Delivery
01/01/21,9
02/01/21,9
03/01/21,9
04/01/21,9
05/01/21,9
06/01/21,8
07/01/21,7
08/01/21,7
09/01/21,7
10/01/21,7
11/01/21,8
12/01/21,8
13/01/21,7
14/01/21,8
15/01/21,8
16/01/21,8
17/01/21,9
18/01/21,9
19/01/21,9
20/01/21,7
21/01/21,7
22/01/21,8
23/01/21,8
24/01/21,8
25/01/21,8
26/01/21,8
27/01/21,7
28/01/21,7
29/01/21,8
30/01/21,8
31/01/21,8
01/02/21,9
02/02/21,8
03/02/21,8
04/02/21,7
05/02/21,8
06/02/21,8
07/02/21,8
08/02/21,8
09/02/21,9
10/02/21,8
11/02/21,7
12/02/21,7
13/02/21,7
14/02/21,8
15/02/21,7
16/02/21,8
17/02/21,8
18/02/21,8
19/02/21,8
20/02/21,8
21/02/21,8
22/02/21,9
23/02/21,8
24/02/21,8
25/02/21,6
26/02/21,7
27/02/21,8
28/02/21,8
01/03/21,9
02/03/21,9
03/03/21,8
04/03/21,8
05/03/21,8
06/03/21,7
07/03/21,6
08/03/21,7
09/03/21,7
10/03/21,6
11/03/21,6
12/03/21,6
13/03/21,5
14/03/21,5
